timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2022-08-20 00:00:00,Nairobi,16.7,0.0,9.0,53,Kenya,52.19839051396597,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5431423804689324,1.1793284968076445,3.1775829867641403,0.258
2022-08-20 01:00:00,Nairobi,16.1,0.0,8.5,56,Kenya,51.8825288031008,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5395995941231004,1.1782589366358616,3.1775829867641403,0.258
2022-08-20 02:00:00,Nairobi,14.4,0.0,8.0,59,Kenya,49.76579662265844,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5148815017139912,1.1737235755541209,3.1775829867641403,0.258
2022-08-20 03:00:00,Nairobi,13.6,0.0,7.6,61,Kenya,48.857930560050654,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5037592878489727,1.1731820794440824,3.1775829867641403,0.258
2022-08-20 04:00:00,Nairobi,13.2,0.0,6.7,63,Kenya,48.584373914170186,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5003466853589589,1.1731841294646683,3.1775829867641403,0.258
2022-08-20 05:00:00,Nairobi,12.5,0.0,5.9,65,Kenya,47.80674719533961,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.4904908550208893,1.1736078262946064,3.1775829867641403,0.258
2022-08-20 06:00:00,Nairobi,12.0,0.0,5.0,66,Kenya,47.16374650146145,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.482168114843571,1.1744251339456548,3.1775829867641403,0.258
2022-08-20 07:00:00,Nairobi,12.8,0.0,4.9,60,Kenya,47.37328490394387,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.484897515733954,1.1741123623536447,3.1775829867641403,0.258
2022-08-20 08:00:00,Nairobi,15.8,0.0,4.8,53,Kenya,50.78537298260783,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5269996747486123,1.1753362985183793,3.1775829867641403,0.258
2022-08-20 09:00:00,Nairobi,19.0,0.0,4.7,47,Kenya,54.40830545729816,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5668710558648862,1.189665026955364,3.1775829867641403,0.258
2022-08-20 10:00:00,Nairobi,21.3,0.0,5.9,41,Kenya,56.347696015324495,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.586169276028058,1.202849911512078,3.1775829867641403,0.258
2022-08-20 11:00:00,Nairobi,23.6,0.0,7.1,35,Kenya,57.95276660906195,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.601062135861088,1.2166702057243537,3.1775829867641403,0.258
2022-08-20 12:00:00,Nairobi,25.9,0.0,8.3,30,Kenya,59.49373779067205,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6144410676578262,1.2324168555879569,3.1775829867641403,0.258
2022-08-20 13:00:00,Nairobi,27.6,0.0,8.3,27,Kenya,60.650790207915165,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6238948772356498,1.245836213815794,3.1775829867641403,0.258
2022-08-20 14:00:00,Nairobi,28.1,0.0,8.3,25,Kenya,60.4947504574522,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6226495543385209,1.2439466347930233,3.1775829867641403,0.258
2022-08-20 15:00:00,Nairobi,29.2,0.0,8.3,22,Kenya,60.58596158629369,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6233786137385116,1.245048142341737,3.1775829867641403,0.258
2022-08-20 16:00:00,Nairobi,28.5,0.0,12.8,25,Kenya,61.01350338657161,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6267539457069873,1.2503247121022305,3.1775829867641403,0.258
2022-08-20 17:00:00,Nairobi,27.0,0.0,13.5,27,Kenya,59.85703944420474,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6174641343717808,1.2364829703177416,3.1775829867641403,0.258
2022-08-20 18:00:00,Nairobi,26.8,0.0,16.2,29,Kenya,60.34857095969215,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.6214745480025927,1.2421990434156582,3.1775829867641403,0.258
2022-08-20 19:00:00,Nairobi,24.9,0.0,16.8,30,Kenya,58.13427585723376,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.602684809798622,1.218398844644873,3.1775829867641403,0.258
2022-08-20 20:00:00,Nairobi,23.1,0.0,17.1,32,Kenya,56.32292526743305,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.585931782761964,1.202657263916535,3.1775829867641403,0.258
2022-08-20 21:00:00,Nairobi,21.2,0.0,17.2,33,Kenya,53.98697234740448,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5624899266099752,1.187309072924298,3.1775829867641403,0.258
2022-08-20 22:00:00,Nairobi,20.0,0.0,18.4,37,Kenya,53.39420790100875,Savana,0.000115734416974,5.776760916086143e-06,7569.54878659564,42628.51158767016,60556.39029276512,0.0,0.0,0.0,0.0,226488.8676410326,19720.666575604428,250193.50726221368,226488.8676410326,0.0,1.5562122380097034,1.1843018251584292,3.1775829867641403,0.258
